Person,Samples,Comparisons,Avg_Score,Std_Score,Max_Score,Min_Score,Avg_Quality,Identification_Rate,Identified
a_1,8,28,0.7785353844282052,0.0155664414290699,0.8550474927700122,0.7673069935844623,0.7027725933230622,1.0,True
a_10,8,28,0.7757896203915051,0.0077185410339811805,0.7976595344951729,0.7627832757614137,0.7029986529564153,1.0,True
a_100,8,28,0.7721231999897701,0.01006221863187995,0.7844042282554785,0.7444808262486701,0.7007560543113004,0.8928571428571429,True
a_11,8,28,0.7838073061546512,0.02253463921200576,0.8479540072440206,0.7639559556174327,0.7036004419794635,1.0,True
a_12,8,28,0.7754688378080783,0.017167294069063484,0.8562101835231154,0.7496942262678834,0.7022748003096771,0.9642857142857143,True
a_13,8,28,0.7739310756792459,0.008752922505135574,0.7920929545726393,0.7575289463685899,0.7022361090307069,1.0,True
a_14,8,28,0.7709205223158161,0.011750075613416637,0.7999840460451808,0.7526605606606289,0.7037635100038225,0.8928571428571429,True
a_15,8,28,0.7837188404612159,0.014041479941906432,0.8482687993862871,0.7702313760068901,0.7039706285813131,1.0,True
a_16,8,28,0.7882868075786812,0.014299063560207112,0.8569399451512011,0.7753122197054078,0.7023038427325289,1.0,True
a_17,8,28,0.7859723555269039,0.0034965459285350763,0.7937602939480233,0.7782714313792217,0.7025038838260812,1.0,True
a_18,8,28,0.7856661443289356,0.007077504350275386,0.7972888654714392,0.7731567076015943,0.7052177105011906,1.0,True
a_19,8,28,0.7857249709937911,0.018868000856753504,0.848657548149691,0.7703083468130748,0.7034756128025891,1.0,True
a_2,8,28,0.7902868287005892,0.02098214120343892,0.8511747077822237,0.7727932557634679,0.7027502865633128,1.0,True
a_20,8,28,0.7892784310852324,0.018007361127233584,0.8573924090820758,0.771417703453847,0.7030154380450744,1.0,True
a_21,8,28,0.7807220896758135,0.004734262946220782,0.7943963995604068,0.7730177440432515,0.7017475649557076,1.0,True
a_22,8,28,0.775008318552746,0.02187111412231164,0.8436300883095258,0.7234396952081498,0.7022842097102764,0.9285714285714286,True
a_23,8,28,0.7864297595126747,0.013490667783411717,0.8462401763443762,0.7663026903281432,0.7019445328755237,1.0,True
a_24,8,28,0.7776824343319726,0.005218229570478633,0.7879634952631045,0.766297242050547,0.7027302215216858,1.0,True
a_25,8,28,0.7831716430074609,0.005466510619491914,0.795320653393316,0.770259656189271,0.7031798654612643,1.0,True
a_26,8,28,0.784957763347762,0.014737977598579961,0.8522039860248545,0.7688960873085182,0.703878267870304,1.0,True
a_27,8,28,0.7824042469147999,0.013390598730694111,0.845584608101445,0.7712748324788327,0.7017954429869971,1.0,True
a_28,8,28,0.7985958348409292,0.029455795530806114,0.8615096330121337,0.7715632019089997,0.7032384844653972,1.0,True
a_29,8,28,0.7877770919880713,0.01787822056190796,0.8571563993599404,0.7740330554870081,0.7027308846536134,1.0,True
a_3,8,28,0.7880582116163762,0.026903418442536246,0.8537020977716833,0.7611440869528348,0.7042701901917651,1.0,True
a_30,8,28,0.7810459959923299,0.013606398161339656,0.8416220372790546,0.764295781846387,0.7021801398912986,1.0,True
a_31,8,28,0.7853247090090646,0.01909830967322831,0.8598838027041938,0.773214146514818,0.7039931023305454,1.0,True
a_32,8,28,0.7877264737213717,0.0038537286509059874,0.7952031491116501,0.7812033557579904,0.7021386494146666,1.0,True
a_33,8,28,0.7785669622983524,0.01436773308101217,0.8401030249473738,0.7634465728371018,0.7017625295739435,1.0,True
a_34,8,28,0.7865366687906066,0.017308202518320447,0.8462014704179247,0.7730158588957637,0.703805297533431,1.0,True
a_35,8,28,0.7915834945269143,0.023527418096177293,0.8541368761587842,0.774242502867446,0.7019390215923875,1.0,True
a_36,8,28,0.7917392409871893,0.015712296578128292,0.850583742401849,0.7800470756803283,0.7031489772398948,1.0,True
a_37,8,28,0.7905103943925594,0.024249353262495214,0.855504886793467,0.7669178867159359,0.7023983374502515,1.0,True
a_38,8,28,0.7860473790974677,0.01802146690356871,0.8519299477208406,0.7692616206490047,0.7054057771109522,1.0,True
a_39,8,28,0.7829403384402499,0.007401919759271017,0.7995977403029314,0.7669141625145012,0.7051260432802666,1.0,True
a_4,8,28,0.7781398955791416,0.007412718628510698,0.7989982086806714,0.7666374692526972,0.7031219520537869,1.0,True
a_40,8,28,0.7789622321619609,0.016043942068583235,0.8400656937268198,0.7412495456134558,0.702972613791177,0.9285714285714286,True
a_41,8,28,0.7800657903174911,0.01675975247791446,0.8576768823035495,0.7632573513610812,0.7018851542975589,1.0,True
a_42,8,28,0.7787429529685523,0.007686746635434099,0.7895241181212282,0.7579904128298189,0.7030738308413781,1.0,True
a_43,8,28,0.7723441818221339,0.014584604353766505,0.7965277777546099,0.7238601749797859,0.7052857959605046,0.8928571428571429,True
a_44,8,28,0.7851683929277279,0.013624765754691185,0.8425455877224641,0.767859339719662,0.7019682440156766,1.0,True
a_45,8,28,0.7839886707250903,0.012868285519578483,0.8450455007596297,0.7718719839669033,0.7023364824603745,1.0,True
a_46,8,28,0.7818014747509546,0.005368897125165801,0.7901887679882301,0.7717467862610752,0.7028749861975309,1.0,True
a_47,8,28,0.7761463703970609,0.008227443193473537,0.7897418293989764,0.7639745714257937,0.704374419211165,1.0,True
a_48,8,28,0.7774158163429953,0.014599918602869532,0.8445903526308419,0.767098686829609,0.7033344197019277,1.0,True
a_49,8,28,0.7902036891082507,0.019991170200311516,0.8489692781988866,0.7776504702642899,0.7017888238908528,1.0,True
a_5,8,28,0.7806331177441953,0.0047179685871729625,0.789939943418492,0.7701207645612982,0.7027270048192851,1.0,True
a_50,8,28,0.7815738471236793,0.01239286708099693,0.841868797473788,0.769826660088348,0.7036510994488502,1.0,True
a_51,8,28,0.7750396128197455,0.011369091681452238,0.7912575742245346,0.7343602940543993,0.7049309030361882,0.9285714285714286,True
a_52,8,28,0.787208985516186,0.022085482702217645,0.8503569740007122,0.7682004465801382,0.7020161805710016,1.0,True
a_53,8,28,0.7840908104541705,0.012205003370680357,0.841815230653959,0.7740168230747114,0.7025439467935441,1.0,True
a_54,8,28,0.7816219323963886,0.005391511631919708,0.7920379908189673,0.7708780459958852,0.7016192380587795,1.0,True
a_55,8,28,0.7807070490907159,0.019143662173464592,0.8503007513530153,0.7658409019723479,0.703121459636898,1.0,True
a_56,8,28,0.7818121397713069,0.014492648663200935,0.8480356200762709,0.7635424349994216,0.7030616827722481,1.0,True
a_57,8,28,0.7833372174785552,0.005329762006668632,0.7937336230040954,0.7707927559177091,0.7036390044395586,1.0,True
a_58,8,28,0.7845726026109326,0.0045893967269281695,0.7938237499542085,0.7743558849995352,0.7020062370277179,1.0,True
a_59,8,28,0.7839193655283575,0.007532242393720673,0.7953393588186004,0.7678118964868351,0.7035044333613182,1.0,True
a_6,8,28,0.7891967109630569,0.021156189472299823,0.8517245109463355,0.7737411658156113,0.7029850389195619,1.0,True
